name,slug,url,image,guide,city,lat,lon,category
Restaurant BT,restaurant-bt,https://guide.michelin.com/us/en/florida/tampa/restaurant/restaurant-bt,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/1851302f4b9f49129a5679929bf78b5d?width=500&sharp=1,MICHELIN Guide USA,Tampa,27.923091,-82.4935806,Vietnamese
Z Asian,z-asian,https://guide.michelin.com/us/en/florida/orlando/restaurant/z-asian,https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/pic_poilist_default_7.jpg,MICHELIN Guide USA,Orlando,28.5529753,-81.3576352,Vietnamese
Phuc Yea,phuc-yea,https://guide.michelin.com/us/en/florida/miami/restaurant/phuc-yea,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/8496eeeb25d24c51935601b41ea868d5?width=500&sharp=1,MICHELIN Guide USA,Miami,25.8403537,-80.1844276,Vietnamese
Le Nénuphar,le-nenuphar,https://guide.michelin.com/us/en/bruxelles-capitale/woluwe-saint-lambert/restaurant/le-nenuphar,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/86db2fe12c9c4f33acf5f4bb13743954?width=500&sharp=1,MICHELIN Guide Belgium,Woluwe-Saint-Lambert,50.8488068,4.4334979,Vietnamese
Bún,bun,https://guide.michelin.com/us/en/antwerpen/be-antwerpen/restaurant/bun,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/3631a081785e4fd38b36d57a045162c9?width=500&sharp=1,MICHELIN Guide Belgium,Antwerpen,51.2107296,4.3955902,Vietnamese
Falansai,falansai,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/falansai,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/057c65e8af504941846659dd34ec5b98?width=500&sharp=1,MICHELIN Guide USA,New York,40.7068,-73.92877,Vietnamese
Hello VietNam,hello-vietnam,https://guide.michelin.com/us/en/taichung-region/taichung/restaurant/hello-vietnam,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a44f44141f494e7e9c5dd85c4fdb74a3?width=500&sharp=1,MICHELIN Guide Taipei & Taichung,Taichung,24.13974,120.68411,Vietnamese
Doi Moi,doi-moi,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/doi-moi,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/29b0b61da9c04887949f08f74a7ef3bf?width=500&sharp=1,MICHELIN Guide USA,Washington,38.91423,-77.03204,Vietnamese
Moon Rabbit,moon-rabbit,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/moon-rabbit,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5a85b643b6e745bcac03a951f28dbb33?width=500&sharp=1,MICHELIN Guide USA,Washington,38.8792112,-77.0249266,Vietnamese
Nhà Hàng Vietnam,nha-hang-vietnam,https://guide.michelin.com/us/en/illinois/chicago/restaurant/nha-hang-vietnam,https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/default1.jpg,MICHELIN Guide USA,Chicago,41.9733563,-87.6561083,Vietnamese
Sochi,sochi,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sochi,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/46d490321c87430a95d5c8c9f91d16c0?width=500&sharp=1,MICHELIN Guide USA,Chicago,41.9398616,-87.6635142,Vietnamese
HaiSous,haisous,https://guide.michelin.com/us/en/illinois/chicago/restaurant/haisous,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e99a4b45cd8b46a480168ac315f55367?width=500&sharp=1,MICHELIN Guide USA,Chicago,41.8579542,-87.6531795,Vietnamese
Pho Tai,pho-tai,https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/pho-tai,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/736ca7503da94915a03e4192201b1397?width=500&sharp=1,MICHELIN Guide France,Paris,48.82214,2.3613799,Vietnamese
Hanoi Bike Shop,hanoi-bike-shop,https://guide.michelin.com/us/en/glasgow-city/glasgow/restaurant/hanoi-bike-shop,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a612b6b8c8a04edc915ab7a611c277ea?width=500&sharp=1,MICHELIN Guide United Kingdom,Glasgow City,55.875258,-4.2942993,Vietnamese
Brass Spoon (Wan Chai),brass-spoon-wan-chai,https://guide.michelin.com/us/en/hong-kong-region/hong-kong/restaurant/brass-spoon-wan-chai,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/39590a16601e432cac412e3d55d7e7d1?width=500&sharp=1,MICHELIN Guide Hong Kong,Hong Kong,22.2764202,114.1683923,Vietnamese
Angeum,angeum,https://guide.michelin.com/us/en/phra-nakhon-si-syutthaya-region/phra-nakhon-si-ayutthaya/restaurant/angeum,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/72ba8918876f4c9cbd137b550899385c?width=500&sharp=1,MICHELIN Guide Thailand,Phra Nakhon Si Ayutthaya,14.3329222,100.6040612,Vietnamese
Tonkin Annam,tonkin-annam,https://guide.michelin.com/us/en/bangkok-region/bangkok/restaurant/tonkin-annam,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f0cdb355498c4c71a7fa1f3ece2a5b60?width=500&sharp=1,MICHELIN Guide Thailand,Bangkok,13.7450511,100.4913426,Vietnamese
Saigon Recipe,saigon-recipe,https://guide.michelin.com/us/en/bangkok-region/bangkok/restaurant/saigon-recipe,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/6a0345d1704248378307ed5dc14b01cf?width=500&sharp=1,MICHELIN Guide Thailand,Bangkok,13.7320473,100.576598,Vietnamese
Thien Duong,thien-duong,https://guide.michelin.com/us/en/bangkok-region/bangkok/restaurant/thien-duong,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/dc13f95c9e73422d8aa1e85809ea5450?width=500&sharp=1,MICHELIN Guide Thailand,Bangkok,13.7271146,100.5358452,Vietnamese
Ăn Cơm,an-com,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/an-com,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/0c4202fd456a45aba0e4ab3349c0e960?width=500&sharp=1,MICHELIN Guide Japan,Tokyo,35.650758,139.721829,Vietnamese
yoyonam,yoyonam,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/yoyonam,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f0c8ee5ccd364f4d9bb22b3d65c17e65?width=500&sharp=1,MICHELIN Guide Japan,Tokyo,35.671403,139.690587,Vietnamese
Ăn Ði,an-di,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurant/an-%C3%B0i,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/73706786d17247a39a675a3762e8587b?width=500&sharp=1,MICHELIN Guide Japan,Tokyo,35.671901,139.713897,Vietnamese
Vietnamonamour,vietnamonamour,https://guide.michelin.com/us/en/lombardia/milano/restaurant/vietnamonamour,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a31ae3f3a3a541ef98f77940988251f6?width=500&sharp=1,MICHELIN Guide Italia,Milan,45.48181,9.22263,Vietnamese
Tiem an Huong Viet,tiem-an-huong-viet,https://guide.michelin.com/us/en/kyoto-region/kyoto/restaurant/huong-viet,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5c7ed17be42a4629b69b83e3d24fdcca?width=500&sharp=1,MICHELIN Guide Japan,Kyoto,35.0122976,135.760642,Vietnamese
Phở 79,pho-79,https://guide.michelin.com/us/en/california/us-garden-grove/restaurant/pho-79,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/9ff7e9bb7feb4c399fa8bf8b468e9c5d?width=500&sharp=1,MICHELIN Guide USA,Garden Grove,33.7527059,-117.9556132,Vietnamese
Garlic & Chives by Kristin,garlic-&-chives-by-kristin,https://guide.michelin.com/us/en/california/us-garden-grove/restaurant/garlic-chives-by-kristin,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/6efa64b4dc6c49f7aa0ebce6484ea6c8?width=500&sharp=1,MICHELIN Guide USA,Garden Grove,33.759464,-117.95538,Vietnamese
LSXO,lsxo,https://guide.michelin.com/us/en/california/us-huntington-beach/restaurant/lsxo,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/687f518e382240ea8ef18e1ac93b7749?width=500&sharp=1,MICHELIN Guide USA,Huntington Beach,33.6553551,-117.9985791,Vietnamese
Tamarine,tamarine,https://guide.michelin.com/us/en/california/palo-alto/restaurant/tamarine,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5c5d8ad522194566abc3ce800d0c15fe?width=500&sharp=1,MICHELIN Guide USA,Palo Alto,37.4490756,-122.1582014,Vietnamese
Đi Ăn Đi,di-an-di,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/%C4%91i-an-%C4%91i,https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/iStock-182146474.jpg,MICHELIN Guide USA,New York,40.7297087,-73.9581758,Vietnamese
Thái So´n,thai-so'n,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/thai-so%C2%B4n,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/2e37c030b98d404d990d1070779f434b?width=500&sharp=1,MICHELIN Guide USA,New York,40.7169328,-73.9995579,Vietnamese
Van Đa,van-da,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/van-%C4%91a,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c9e8b6b6fc9142aa9dfca3f04dd9b955?width=500&sharp=1,MICHELIN Guide USA,New York,40.7233393,-73.9828147,Vietnamese
Bolero,bolero,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bolero,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f830f7cb74bb49b7b1a0a0ffee9214ae?width=500&sharp=1,MICHELIN Guide USA,New York,40.718041,-73.9574056,Vietnamese
Bistro BT,bistro-bt,https://guide.michelin.com/us/en/florida/tampa/restaurant/bistro-bt,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5d2602819a394df4b55458ac95b9ae2f?width=500&sharp=1,MICHELIN Guide USA,Tampa,27.9252675,-82.5157619,Fusion
Madame Ngo - Une Brasserie Hanoi,madame-ngo-une-brasserie-hanoi,https://guide.michelin.com/us/en/berlin-region/berlin/restaurant/madame-ngo-une-brasserie-hanoi,https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/iStock-677785016.jpg,MICHELIN Guide Germany,Berlin,52.5062238,13.31818,South East Asian
Top Hatters Kitchen,top-hatters-kitchen,https://guide.michelin.com/us/en/california/san-leandro/restaurant/top-hatters-kitchen,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/cbd898b3f03d49f9a53bbe8f91c3850f?width=500&sharp=1,MICHELIN Guide USA,San Leandro,37.7373393,-122.1417697,Contemporary
Funky Fisch,funky-fisch,https://guide.michelin.com/us/en/berlin-region/berlin/restaurant/funky-fisch,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c2fc410e314343488b4bb289a5df4415?width=500&sharp=1,MICHELIN Guide Germany,Berlin,52.5059106,13.3171625,Asian and Western
Dija Mara,dija-mara,https://guide.michelin.com/us/en/california/oceanside/restaurant/dija-mara,https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/iStock-810733288.jpg,MICHELIN Guide USA,Oceanside,33.1936183,-117.3775044,Indonesian
